"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2025,2.5,1.46,88800,50,-390,-25200,-25590,0,44400,0,7.32,44.31,26.38,2593.5,1000,0,0,0,-3960,0.49,0,0,0.49,5e+05,557850,26600,0,531250,2,3.7,-19656.25,-30281.25,-10625,28.83,-520625,-322102.19,0,0,3.7,0,0,0,0,0,0.3,-1500,1,-5000,-900,-1500,-480,-480,-360,-3720,11.17,-55850,26.38,-398577.19,-10625,-19656.25,-1500,-5000,-3720,0,0,0,0,0,-66091.25,46993.5,-21691.25,-21691.25,0,0,1708.75,0,0,0,0,26600,29193.5,28509.33,-311824.94,"example"
2026,2.5,1.4,90096.48,0,-390,-50400,-50790,0,90096.48,0,7.2,44.31,26.38,2136.96,1025,0,0,0,-3960,0.49,0,0,0.49,502450,0,0,0,0,2,3.7,-19263.13,-30281.25,-11018.12,0,-510000,-302839.06,0,0,3.7,0,0,0,0,0,0.3,-1507.35,1,-5024.5,-900,-1500,-480,-480,-360,-3720,11.17,-56123.66,26.38,-367159.03,-11018.12,-19263.13,-1507.35,-5024.5,-3720,0,0,0,0,0,-91323.1,92233.44,-1226.62,-1226.62,0,0,482.13,0,0,0,0,26600,31330.46,30082.56,-278576.47,"example"
2027,2.5,1.35,91357.83,50,-780,-25200,-25980,0,45678.92,0,7.08,44.31,26.38,2255.79,1050.62,0,581.77,0,-3960,0.49,0,0,0.49,504912,0,0,0,0,2,3.7,-18870,-30281.25,-11411.25,0,-498981.88,-283969.06,0,0,3.7,0,0,0,0,0,0.3,-1514.74,1,-5049.12,-900,-1500,-480,-480,-360,-3720,11.17,-56398.67,26.38,-335733.4,-11411.25,-18870,-1514.74,-5049.12,-3720,0,0,0,0,0,-66545.11,47934.71,-20866.19,-20866.19,0,0,0,-20866.19,-4730.46,-17383.63,0,9216.37,11472.16,10877.08,-266566.78,"example"
2028,2.5,1.29,92591.16,0,-780,-50400,-51180,0,92591.16,0,6.96,44.31,26.38,812.23,1076.89,0,581.77,0,-3960,0.49,0,0,0.49,507386.07,0,0,0,0,2,3.7,-18462.33,-30281.25,-11818.92,0,-487570.63,-265506.73,0,0,3.7,0,0,0,0,0,0.3,-1522.16,1,-5073.86,-900,-1500,-480,-480,-360,-3720,11.17,-56675.02,26.38,-304314.76,-11818.92,-18462.33,-1522.16,-5073.86,-3720,0,0,0,0,0,-91777.27,93403.39,813.89,813.89,0,0,813.89,0,0,0,0,9216.37,12284.39,11475.05,-232593.01,"example"
2029,2.5,1.23,93785.59,0,-2330,-50400,-52730,0,93785.59,0,6.84,44.31,26.38,854.99,1103.81,0,581.77,0,-3960,0.49,0,0,0.49,509872.26,0,0,0,0,2,3.7,-18040.11,-30281.25,-12241.14,0,-475751.71,-247466.62,0,0,3.7,0,0,0,0,0,0.3,-1529.62,1,-5098.72,-900,-1500,-480,-480,-360,-3720,11.17,-56952.73,26.38,-272903.1,-12241.14,-18040.11,-1529.62,-5098.72,-3720,0,0,0,0,0,-93359.59,94640.58,426,426,0,0,1239.89,0,0,0,0,9216.37,13139.38,12104.49,-198966.8,"example"
2030,2.5,1.17,94939.15,0,-2330,-50400,-52730,0,94939.15,0,6.72,44.31,26.38,898.73,1131.41,0,581.77,0,-3960,0.49,0,0,0.49,512370.63,0,0,0,0,2,3.7,-17602.81,-30281.25,-12678.44,0,-463510.57,-229863.81,0,0,3.7,0,0,0,0,0,0.3,-1537.11,1,-5123.71,-900,-1500,-480,-480,-360,-3720,11.17,-57231.8,26.38,-241498.92,-12678.44,-17602.81,-1537.11,-5123.71,-3720,0,0,0,0,0,-93392.07,95837.88,1547.08,1547.08,0,0,2786.97,0,0,0,0,9216.37,14038.11,12766.13,-164178.67,"example"
2031,2.5,1.11,96049.94,0,-3880,-50400,-54280,0,96049.94,0,6.6,44.31,26.38,943.36,1159.7,0,581.77,0,-3960,0.49,0,0,0.49,514881.25,0,0,0,0,2,3.7,-17149.89,-30281.25,-13131.36,0,-450832.13,-212713.92,0,0,3.7,0,0,0,0,0,0.3,-1544.64,1,-5148.81,-900,-1500,-480,-480,-360,-3720,11.17,-57512.24,26.38,-210102.71,-13131.36,-17149.89,-1544.64,-5148.81,-3720,0,0,0,0,0,-94974.7,96993.3,1075.24,1075.24,0,0,3862.21,0,0,0,0,9216.37,14981.47,13460.64,-129821.12,"example"
2032,2.5,1.05,97116.09,0,-3880,-50400,-54280,0,97116.09,0,6.48,44.31,26.38,988.78,1188.69,0,581.77,0,-3960,0.49,0,0,0.49,517404.17,0,0,0,0,2,3.7,-16680.79,-30281.25,-13600.46,0,-437700.77,-196033.13,0,0,3.7,0,0,0,0,0,0.3,-1552.21,1,-5174.04,-900,-1500,-480,-480,-360,-3720,11.17,-57794.05,26.38,-178715,-13600.46,-16680.79,-1552.21,-5174.04,-3720,0,0,0,0,0,-95007.5,98104.87,2108.59,2108.59,0,0,5970.8,0,0,0,0,9216.37,15970.25,14188.58,-94388.68,"example"
2033,2.5,0.99,98135.81,0,-3880,-50400,-54280,0,98135.81,0,6.36,44.31,26.38,1034.87,1218.41,0,581.77,0,-3960,0.49,0,0,0.49,519939.45,0,0,0,0,2,3.7,-16194.93,-30281.25,-14086.32,0,-424100.31,-179838.2,0,0,3.7,0,0,0,0,0,0.3,-1559.82,1,-5199.39,-900,-1500,-480,-480,-360,-3720,11.17,-58077.24,26.38,-147336.33,-14086.32,-16194.93,-1559.82,-5199.39,-3720,0,0,0,0,0,-95040.46,99170.68,3095.35,3095.35,0,0,9066.15,0,0,0,0,9216.37,17005.12,14950.45,-57927.79,"example"
2034,2.5,0.93,99107.35,0,-3880,-50400,-54280,0,99107.35,0,6.24,44.31,26.38,1081.53,1248.87,0,581.77,0,-3960,0.49,0,0,0.49,522487.15,0,0,0,0,2,3.7,-15691.71,-30281.25,-14589.54,0,-410013.99,-164146.49,0,0,3.7,0,0,0,0,0,0.3,-1567.46,1,-5224.87,-900,-1500,-480,-480,-360,-3720,11.17,-58361.81,26.38,-115967.25,-14589.54,-15691.71,-1567.46,-5224.87,-3720,0,0,0,0,0,-95073.58,100188.88,4033.77,4033.77,0,0,13099.92,0,0,0,0,9216.37,18086.65,15746.67,-20486.76,"example"
