"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_principal_share","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2025,2.5,1.46,88800,50,-390,-25200,-25590,0,44400,0,7.32,44.31,26.38,0,1000,0,0,0,-3960,0.49,-24000,-3960,0.49,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53550,44400,-9150,-9150,0,0,14250,0,0,0,0,0,0,0,14250,"example"
2026,2.5,1.4,90096.48,0,-390,-50400,-50790,0,90096.48,0,7.19,44.31,26.38,0,1025,0,0,0,-3960,0.49,-24117.6,-3960,0.49,502450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78867.6,90096.48,11228.88,9150,0,2078.88,23400,0,0,0,2078.88,2078.88,2078.88,2078.88,25478.88,"example"
2027,2.5,1.33,91357.83,50,-780,-25200,-25980,0,45678.92,0,7.06,44.31,26.38,149.47,1050.62,0,0,0,-3960,0.49,-24235.78,-3960,0.49,504912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54175.78,45828.39,-8496.86,-8496.86,0,0,14903.14,0,0,0,0,2078.88,2228.35,2188.92,17131.49,"example"
2028,2.5,1.27,92572.89,0,-780,-50400,-51180,0,92572.89,0,6.93,44.31,26.38,157.32,1076.89,0,0,0,-3960,0.49,-24354.53,-3960,0.49,507386.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79494.53,92730.21,13078.36,8496.86,0,4581.5,23400,0,0,0,4581.5,6660.38,6967.17,6886.24,30367.17,"example"
2029,2.5,1.2,93748.57,0,-2330,-50400,-52730,0,93748.57,0,6.8,44.31,26.38,482.82,1103.81,0,0,0,-3960,0.49,-24473.87,-3960,0.49,509872.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81163.87,94231.39,12584.7,0,0,12584.7,23400,0,0,0,12584.7,19245.08,20034.69,19826.39,43434.69,"example"
2030,2.5,1.14,94873.55,0,-2330,-50400,-52730,0,94873.55,0,6.67,44.31,26.38,1362.36,1131.41,0,0,0,-3960,0.49,-24593.79,-3960,0.49,512370.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81283.79,96235.91,13589.76,0,0,13589.76,23400,0,0,0,13589.76,32834.84,34986.81,34419.12,58386.81,"example"
2031,2.5,1.07,95955.11,0,-3880,-50400,-54280,0,95955.11,0,6.54,44.31,26.38,2333.62,1159.7,0,0,0,-3960,0.49,-24714.3,-3960,0.49,514881.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82954.3,98288.73,13000.81,0,0,13000.81,23400,0,0,0,13000.81,45835.65,50321.24,49137.94,73721.24,"example"
2032,2.5,1.01,96981.83,0,-3880,-50400,-54280,0,96981.83,0,6.41,44.31,26.38,3291.01,1188.69,0,0,0,-3960,0.49,-24835.4,-3960,0.49,517404.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83075.4,100272.84,13906.43,0,0,13906.43,23400,0,0,0,13906.43,59742.08,67518.68,65467.21,90918.68,"example"
2033,2.5,0.94,97961.35,0,-3880,-50400,-54280,0,97961.35,0,6.28,44.31,26.38,4327.95,1218.41,0,0,0,-3960,0.49,-24957.09,-3960,0.49,519939.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83197.09,102289.3,14764.26,0,0,14764.26,23400,0,0,0,14764.26,74506.34,86610.89,83417.71,110010.89,"example"
2034,2.5,0.88,98882.19,0,-3880,-50400,-54280,0,98882.19,0,6.15,44.31,26.38,5439.16,1248.87,0,0,0,-3960,0.49,-25079.38,-3960,0.49,522487.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83319.38,104321.35,15562.81,0,0,15562.81,23400,0,0,0,15562.81,90069.15,107612.86,102984.83,131012.86,"example"
