"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2025,2.5,0,28800,50,-390,-6000,-6390,0,18720,0,7.32,14.77,26.38,0,1000,0,0,0,-1440,0.49,0,0,0.49,150000,167355,9000,0,158355,2,3.7,-5859.14,-9026.24,-3167.1,28.83,-155187.9,-96012.36,0,0,3.7,-1241.86,-555,-1796.86,-13758.14,-2413.6,0.3,-450,1,-1500,0,0,0,0,0,0,11.17,-16755,26.38,-134127,-4408.96,-6414.14,-450,-1500,0,0,0,0,0,0,-19163.1,18720,-443.1,-443.1,0,0,5556.9,0,0,0,0,0,0,0,-111815.1,"example"
2026,2.5,-0.01,28800,0,-390,-12000,-12390,0,28800,0,7.22,14.77,26.38,0,1025,0,0,0,-1440,0.49,0,0,0.49,150735,0,0,0,0,2,3.7,-5741.95,-9026.24,-3284.29,0,-152020.8,-90270.41,0,0,3.7,-1287.81,-509.05,-1796.86,-12470.33,-1904.55,0.3,-452.2,1,-1507.35,0,0,0,0,0,0,11.17,-16837.1,26.38,-122962.08,-4572.1,-6251,-452.2,-1507.35,0,0,0,0,0,0,-25172.65,28800,3627.35,443.1,0,3184.25,6000,0,0,0,3184.25,3184.25,3184.25,3184.25,-96746.84,"example"
2027,2.5,-0.02,28797.12,50,-780,-6000,-6780,0,18718.13,0,7.12,14.77,26.38,229.9,1050.62,0,0,0,-1440,0.49,0,0,0.49,151473.6,0,0,0,0,2,3.7,-5624.77,-9026.24,-3401.47,0,-148736.51,-84645.64,0,0,3.7,-1335.46,-461.4,-1796.86,-11134.87,-1443.15,0.3,-454.42,1,-1514.74,0,0,0,0,0,0,11.17,-16919.6,26.38,-111794.91,-4736.93,-6086.17,-454.42,-1514.74,0,0,0,0,0,0,-19572.26,18948.03,-854.13,-854.13,0,0,5145.87,0,0,0,0,3184.25,3414.15,3353.5,-85926.55,"example"
2028,2.5,-0.04,28791.36,0,-780,-12000,-12780,0,28791.36,0,7.02,14.77,26.38,243.09,1076.89,0,0,0,-1440,0.49,0,0,0.49,152215.82,0,0,0,0,2,3.7,-5503.25,-9026.24,-3522.99,0,-145335.04,-79142.39,0,0,3.7,-1384.87,-411.99,-1796.86,-9750,-1031.16,0.3,-456.65,1,-1522.16,0,0,0,0,0,0,11.17,-17002.51,26.38,-100629.81,-4907.86,-5915.24,-456.65,-1522.16,0,0,0,0,0,0,-25581.91,29034.45,3209.45,854.13,0,2355.32,6000,0,0,0,2355.32,5539.57,6012.56,5887.79,-71030.21,"example"
2029,2.5,-0.05,28779.84,0,-2330,-12000,-14330,0,28779.84,0,6.92,14.77,26.38,422.08,1103.81,0,0,0,-1440,0.49,0,0,0.49,152961.68,0,0,0,0,2,3.7,-5377.4,-9026.24,-3648.84,0,-141812.05,-73764.99,0,0,3.7,-1436.11,-360.75,-1796.86,-8313.89,-670.41,0.3,-458.89,1,-1529.62,0,0,0,0,0,0,11.17,-17085.82,26.38,-89466.77,-5084.95,-5738.15,-458.89,-1529.62,0,0,0,0,0,0,-27141.61,29201.92,1638.23,0,0,1638.23,6000,0,0,0,1638.23,7177.8,8072.87,7836.75,-57526.79,"example"
2030,2.5,-0.06,28765.45,0,-2330,-12000,-14330,0,28765.45,0,6.82,14.77,26.38,558.64,1131.41,0,0,0,-1440,0.49,0,0,0.49,153711.19,0,0,0,0,2,3.7,-5247.05,-9026.24,-3779.19,0,-138163.21,-68517.94,0,0,3.7,-1489.25,-307.61,-1796.86,-6824.64,-362.8,0.3,-461.13,1,-1537.11,0,0,0,0,0,0,11.17,-17169.54,26.38,-78305.95,-5268.44,-5554.66,-461.13,-1537.11,0,0,0,0,0,0,-27151.34,29324.09,1614.11,0,0,1614.11,6000,0,0,0,1614.11,8791.91,10245.62,9862.13,-43911.78,"example"
2031,2.5,-0.07,28748.19,0,-3880,-12000,-15880,0,28748.19,0,6.72,14.77,26.38,698.75,1159.7,0,0,0,-1440,0.49,0,0,0.49,154464.37,0,0,0,0,2,3.7,-5112.04,-9026.24,-3914.2,0,-134384.02,-63405.9,0,0,3.7,-1544.35,-252.51,-1796.86,-5280.29,-110.29,0.3,-463.39,1,-1544.64,0,0,0,0,0,0,11.17,-17253.67,26.38,-67147.5,-5458.55,-5364.55,-463.39,-1544.64,0,0,0,0,0,0,-28711.13,29446.94,37.06,0,0,37.06,6000,0,0,0,37.06,8828.97,10981.43,10413.61,-31734.7,"example"
2032,2.5,-0.09,28728.07,0,-3880,-12000,-15880,0,28728.07,0,6.62,14.77,26.38,737.95,1188.69,0,0,0,-1440,0.49,0,0,0.49,155221.25,0,0,0,0,2,3.7,-4972.21,-9026.24,-4054.03,0,-130469.82,-58433.69,0,0,3.7,-1601.49,-195.37,-1796.86,-3678.8,0,0.3,-465.66,1,-1552.21,0,0,0,0,0,0,11.17,-17338.21,26.38,-56076.64,-5655.52,-5167.58,-465.66,-1552.21,0,0,0,0,0,0,-28720.97,29466.02,7.1,0,0,7.1,6000,0,0,0,7.1,8836.07,11726.48,10963.99,-19634.58,"example"
2033,2.5,-0.1,28702.21,0,-3880,-12000,-15880,0,28702.21,0,6.52,14.77,26.38,776.29,1218.41,0,0,0,-1440,0.49,0,0,0.49,155981.83,0,0,0,0,2,3.7,-4827.38,-9026.24,-4198.86,0,-126415.79,-53606.31,0,0,3.7,-1660.74,-136.12,-1796.86,-2018.06,0,0.3,-467.95,1,-1559.82,0,0,0,0,0,0,11.17,-17423.17,26.38,-45059.51,-5859.6,-4963.5,-467.95,-1559.82,0,0,0,0,0,0,-28730.87,29478.5,-28.66,-28.66,0,0,5971.34,0,0,0,0,8836.07,12502.77,11535.49,-7584.22,"example"
2034,2.5,-0.11,28673.51,0,-3880,-12000,-15880,0,28673.51,0,6.42,14.77,26.38,815.18,1248.87,0,0,0,-1440,0.49,0,0,0.49,156746.14,0,0,0,0,2,3.7,-4677.38,-9026.24,-4348.86,0,-122216.93,-48928.93,0,0,3.7,-1722.19,-74.67,-1796.86,-295.87,0,0.3,-470.24,1,-1567.46,0,0,0,0,0,0,11.17,-17508.54,26.38,-33983.76,-6071.05,-4752.05,-470.24,-1567.46,0,0,0,0,0,0,-28740.8,29488.69,-67.29,-67.29,0,0,5904.05,0,0,0,0,8836.07,13317.95,12135.63,4526.41,"example"
