"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2025,2.5,0,28800,50,-390,-4800,-5190,0,18720,0,7.32,14.77,26.38,0,1000,0,0,0,-1440,0.49,-12000,-1440,0,0,0,0,0,0,0,0,0,0,-18630,18720,90,0,0,90,6000,0,0,0,90,90,180,156.26,6180,"example"
2026,2.5,-0.01,28800,0,-390,-9600,-9990,0,28800,0,7.22,14.77,26.38,13.18,1025,0,0,0,-1440,0.49,-12058.8,-1440,0,0,0,0,0,0,0,0,0,0,-23488.8,28813.18,5311.2,0,0,5311.2,6000,0,0,0,5311.2,5401.2,5504.38,5477.16,11504.38,"example"
2027,2.5,-0.02,28797.12,50,-780,-4800,-5580,0,18718.13,0,7.12,14.77,26.38,397.42,1050.62,0,0,0,-1440,0.49,-12117.89,-1440,0,0,0,0,0,0,0,0,0,0,-19137.89,19115.55,-419.76,-419.76,0,0,5580.24,0,0,0,0,5401.2,5901.8,5769.74,11482.04,"example"
2028,2.5,-0.04,28791.36,0,-780,-9600,-10380,0,28791.36,0,7.02,14.77,26.38,420.21,1076.89,0,0,0,-1440,0.49,-12177.27,-1440,0,0,0,0,0,0,0,0,0,0,-23997.27,29211.57,4794.09,419.76,0,4374.33,6000,0,0,0,4374.33,9775.53,10696.34,10453.43,16696.34,"example"
2029,2.5,-0.05,28779.84,0,-2330,-9600,-11930,0,28779.84,0,6.92,14.77,26.38,750.88,1103.81,0,0,0,-1440,0.49,-12236.93,-1440,0,0,0,0,0,0,0,0,0,0,-25606.93,29530.72,3172.91,0,0,3172.91,6000,0,0,0,3172.91,12948.44,14620.13,14179.14,20620.13,"example"
2030,2.5,-0.06,28765.45,0,-2330,-9600,-11930,0,28765.45,0,6.82,14.77,26.38,1011.71,1131.41,0,0,0,-1440,0.49,-12296.9,-1440,0,0,0,0,0,0,0,0,0,0,-25666.9,29777.16,3098.55,0,0,3098.55,6000,0,0,0,3098.55,16046.99,18730.39,18022.51,24730.39,"example"
2031,2.5,-0.07,28748.19,0,-3880,-9600,-13480,0,28748.19,0,6.72,14.77,26.38,1277.41,1159.7,0,0,0,-1440,0.49,-12357.15,-1440,0,0,0,0,0,0,0,0,0,0,-27277.15,30025.6,1471.04,0,0,1471.04,6000,0,0,0,1471.04,17518.03,21478.84,20433.98,27478.84,"example"
2032,2.5,-0.09,28728.07,0,-3880,-9600,-13480,0,28728.07,0,6.62,14.77,26.38,1443.38,1188.69,0,0,0,-1440,0.49,-12417.7,-1440,0,0,0,0,0,0,0,0,0,0,-27337.7,30171.45,1390.37,0,0,1390.37,6000,0,0,0,1390.37,18908.4,24312.59,22886.96,30312.59,"example"
2033,2.5,-0.1,28702.21,0,-3880,-9600,-13480,0,28702.21,0,6.52,14.77,26.38,1609.49,1218.41,0,0,0,-1440,0.49,-12478.55,-1440,0,0,0,0,0,0,0,0,0,0,-27398.55,30311.7,1303.66,0,0,1303.66,6000,0,0,0,1303.66,20212.06,27225.74,25375.53,33225.74,"example"
2034,2.5,-0.11,28673.51,0,-3880,-9600,-13480,0,28673.51,0,6.42,14.77,26.38,1775.12,1248.87,0,0,0,-1440,0.49,-12539.69,-1440,0,0,0,0,0,0,0,0,0,0,-27459.69,30448.63,1213.82,0,0,1213.82,6000,0,0,0,1213.82,21425.88,30214.68,27896.19,36214.68,"example"
