"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2025,2.5,0.49,54000,50,-390,-13200,-13590,0,27000,0,7.32,26.38,26.38,0,1000,0,0,-0.49,-2640,0.49,0,0,0.49,250000,278925,11500,0,267425,2,3.7,-9894.73,-15243.23,-5348.5,28.83,-262076.5,-162142.59,0,0,3.7,-2069.76,-925,-2994.76,-22930.24,-4022.6,0.3,-750,1,-2500,-660,-1020,-300,-300,-360,-2640,11.17,-27925,26.38,-229096.93,-7418.26,-10819.73,-750,-2500,-2640,0,0,0,0,0,-37717.99,27000,-10717.99,-10717.99,0,0,2782.01,0,0,0,0,0,0,0,-198389.92,"example"
2026,2.5,0.46,54264.6,0,-390,-26400,-26790,0,54264.6,0,7.22,26.38,26.38,0,1025,0,0,-0.49,-2627.06,0.49,0,0,0.49,251225,0,0,0,0,2,3.7,-9696.83,-15243.23,-5546.4,0,-256728,-152445.76,0,0,3.7,-2146.34,-848.42,-2994.76,-20783.9,-3174.18,0.3,-753.68,1,-2512.25,-660,-1020,-300,-300,-360,-2640,11.17,-28061.83,26.38,-210291.83,-7692.74,-10545.25,-753.68,-2512.25,-2640,0,0,0,0,0,-50933.92,54264.6,3330.68,3330.68,0,0,6112.69,0,0,0,0,0,0,0,-175794.15,"example"
2027,2.5,0.44,54514.22,50,-780,-13200,-13980,0,27257.11,0,7.12,26.38,26.38,0,1050.62,0,0,-0.49,-2614.19,0.49,0,0,0.49,252456,0,0,0,0,2,3.7,-9498.94,-15243.23,-5744.29,0,-251181.6,-142946.82,0,0,3.7,-2225.76,-769,-2994.76,-18558.14,-2405.18,0.3,-757.37,1,-2524.56,-660,-1020,-300,-300,-360,-2640,11.17,-28199.34,26.38,-191482.97,-7970.05,-10267.94,-757.37,-2524.56,-2640,0,0,0,0,0,-38139.92,27257.11,-10882.81,-10882.81,0,0,-4770.12,-10882.81,0,-10882.81,0,0,0,0,-167405.86,"example"
2028,2.5,0.41,54754.08,0,-780,-26400,-27180,0,54754.08,0,7.02,26.38,26.38,0,1076.89,0,0,-0.49,-2601.38,0.49,0,0,0.49,253693.03,0,0,0,0,2,3.7,-9293.72,-15243.23,-5949.51,0,-245437.31,-133653.1,0,0,3.7,-2308.11,-686.65,-2994.76,-16250.03,-1718.53,0.3,-761.08,1,-2536.93,-660,-1020,-300,-300,-360,-2640,11.17,-28337.51,26.38,-172677.67,-8257.62,-9980.37,-761.08,-2536.93,-2640,0,0,0,0,0,-51356,54754.08,3398.08,3398.08,0,0,-1944.45,0,0,0,0,0,0,0,-145310.39,"example"
2029,2.5,0.39,54978.57,0,-2330,-26400,-28730,0,54978.57,0,6.92,26.38,26.38,0,1103.81,0,0,-0.49,-2588.63,0.49,0,0,0.49,254936.13,0,0,0,0,2,3.7,-9081.18,-15243.23,-6162.05,0,-239487.8,-124571.92,0,0,3.7,-2393.51,-601.25,-2994.76,-13856.52,-1117.28,0.3,-764.81,1,-2549.36,-660,-1020,-300,-300,-360,-2640,11.17,-28476.37,26.38,-153875.91,-8555.56,-9682.43,-764.81,-2549.36,-2640,0,0,0,0,0,-52922.16,54978.57,2056.41,2056.41,0,0,-121.37,0,0,0,0,0,0,0,-124218.76,"example"
2030,2.5,0.37,55192.99,0,-2330,-26400,-28730,0,55192.99,0,6.82,26.38,26.38,0,1131.41,0,0,-0.49,-2575.95,0.49,0,0,0.49,256185.32,0,0,0,0,2,3.7,-8861.05,-15243.23,-6382.18,0,-233325.75,-115710.87,0,0,3.7,-2482.07,-512.69,-2994.76,-11374.45,-604.59,0.3,-768.56,1,-2561.85,-660,-1020,-300,-300,-360,-2640,11.17,-28615.9,26.38,-135077.93,-8864.25,-9373.74,-768.56,-2561.85,-2640,0,0,0,0,0,-52938.4,55192.99,2254.59,2254.59,0,0,2118.66,0,0,0,0,0,0,0,-102711.68,"example"
2031,2.5,0.34,55397.2,0,-3880,-26400,-30280,0,55397.2,0,6.72,26.38,26.38,0,1159.7,0,0,-0.49,-2563.33,0.49,0,0,0.49,257440.63,0,0,0,0,2,3.7,-8633.05,-15243.23,-6610.18,0,-226943.57,-107077.82,0,0,3.7,-2573.91,-420.85,-2994.76,-8800.54,-183.74,0.3,-772.32,1,-2574.41,-660,-1020,-300,-300,-360,-2640,11.17,-28756.12,26.38,-116284,-9184.09,-9053.9,-772.32,-2574.41,-2640,0,0,0,0,0,-54504.72,55397.2,892.48,892.48,0,0,3011.14,0,0,0,0,0,0,0,-82553.9,"example"
2032,2.5,0.32,55585.55,0,-3880,-26400,-30280,0,55585.55,0,6.62,26.38,26.38,0,1188.69,0,0,-0.49,-2550.77,0.49,0,0,0.49,258702.09,0,0,0,0,2,3.7,-8396.91,-15243.23,-6846.32,0,-220333.39,-98680.91,0,0,3.7,-2669.14,-325.62,-2994.76,-6131.4,0,0.3,-776.11,1,-2587.02,-660,-1020,-300,-300,-360,-2640,11.17,-28897.02,26.38,-97636.24,-9515.46,-8722.53,-776.11,-2587.02,-2640,0,0,0,0,0,-54521.12,55585.55,1064.43,1064.43,0,0,4075.57,0,0,0,0,0,0,0,-62368.04,"example"
2033,2.5,0.29,55763.42,0,-3880,-26400,-30280,0,55763.42,0,6.52,26.38,26.38,0,1218.41,0,0,-0.49,-2538.27,0.49,0,0,0.49,259969.73,0,0,0,0,2,3.7,-8152.34,-15243.23,-7090.89,0,-213487.07,-90528.57,0,0,3.7,-2767.9,-226.86,-2994.76,-3363.5,0,0.3,-779.91,1,-2599.7,-660,-1020,-300,-300,-360,-2640,11.17,-29038.62,26.38,-79078.04,-9858.79,-8379.2,-779.91,-2599.7,-2640,0,0,0,0,0,-54537.6,55763.42,1225.82,1225.82,0,0,5301.39,0,0,0,0,0,0,0,-42108.02,"example"
2034,2.5,0.27,55925.13,0,-3880,-26400,-30280,0,55925.13,0,6.42,26.38,26.38,0,1248.87,0,0,-0.49,-2525.83,0.49,0,0,0.49,261243.58,0,0,0,0,2,3.7,-7899.02,-15243.23,-7344.21,0,-206396.18,-82629.55,0,0,3.7,-2870.31,-124.45,-2994.76,-493.19,0,0.3,-783.73,1,-2612.44,-660,-1020,-300,-300,-360,-2640,11.17,-29180.91,26.38,-60422.31,-10214.52,-8023.47,-783.73,-2612.44,-2640,0,0,0,0,0,-54554.16,55925.13,1370.97,1370.97,0,0,6672.36,0,0,0,0,0,0,0,-21602.98,"example"
