"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2025,2.5,0.49,54000,50,-390,-13200,-13590,0,27000,0,7.32,26.38,26.38,0,1000,0,0,-0.49,-2640,0.49,-18000,-2640,0,0,0,0,0,0,0,0,0,0,-34230,27000,-7230,-7230,0,0,6270,0,0,0,0,0,0,0,6270,"example"
2026,2.5,0.46,54264.6,0,-390,-26400,-26790,0,54264.6,0,7.22,26.38,26.38,0,1025,0,0,-0.49,-2627.06,0.49,-18088.2,-2627.06,0,0,0,0,0,0,0,0,0,0,-47505.26,54264.6,6759.34,6759.34,0,0,13029.34,0,0,0,0,0,0,0,13029.34,"example"
2027,2.5,0.44,54514.22,50,-780,-13200,-13980,0,27257.11,0,7.12,26.38,26.38,0,1050.62,0,0,-0.49,-2614.19,0.49,-18176.83,-2614.19,0,0,0,0,0,0,0,0,0,0,-34771.02,27257.11,-7513.91,-7513.91,0,0,5515.43,0,0,0,0,0,0,0,5515.43,"example"
2028,2.5,0.41,54754.08,0,-780,-26400,-27180,0,54754.08,0,7.02,26.38,26.38,0,1076.89,0,0,-0.49,-2601.38,0.49,-18265.9,-2601.38,0,0,0,0,0,0,0,0,0,0,-48047.28,54754.08,6706.8,6706.8,0,0,12222.23,0,0,0,0,0,0,0,12222.23,"example"
2029,2.5,0.39,54978.57,0,-2330,-26400,-28730,0,54978.57,0,6.92,26.38,26.38,0,1103.81,0,0,-0.49,-2588.63,0.49,-18355.4,-2588.63,0,0,0,0,0,0,0,0,0,0,-49674.03,54978.57,5304.54,1277.77,0,4026.77,13500,0,0,0,4026.77,4026.77,4026.77,4026.77,17526.77,"example"
2030,2.5,0.37,55192.99,0,-2330,-26400,-28730,0,55192.99,0,6.82,26.38,26.38,278.65,1131.41,0,0,-0.49,-2575.95,0.49,-18445.34,-2575.95,0,0,0,0,0,0,0,0,0,0,-49751.29,55471.64,5441.7,0,0,5441.7,13500,0,0,0,5441.7,9468.47,9747.12,9673.61,23247.12,"example"
2031,2.5,0.34,55397.2,0,-3880,-26400,-30280,0,55397.2,0,6.72,26.38,26.38,664.75,1159.7,0,0,-0.49,-2563.33,0.49,-18535.73,-2563.33,0,0,0,0,0,0,0,0,0,0,-51379.06,56061.95,4018.14,0,0,4018.14,13500,0,0,0,4018.14,13486.61,14430.01,14181.14,27930.01,"example"
2032,2.5,0.32,55585.55,0,-3880,-26400,-30280,0,55585.55,0,6.62,26.38,26.38,969.7,1188.69,0,0,-0.49,-2550.77,0.49,-18626.55,-2550.77,0,0,0,0,0,0,0,0,0,0,-51457.32,56555.25,4128.23,0,0,4128.23,13500,0,0,0,4128.23,17614.84,19527.94,19023.26,33027.94,"example"
2033,2.5,0.29,55763.42,0,-3880,-26400,-30280,0,55763.42,0,6.52,26.38,26.38,1292.75,1218.41,0,0,-0.49,-2538.27,0.49,-18717.82,-2538.27,0,0,0,0,0,0,0,0,0,0,-51536.09,57056.17,4227.33,0,0,4227.33,13500,0,0,0,4227.33,21842.17,25048.02,24202.32,38548.02,"example"
2034,2.5,0.27,55925.13,0,-3880,-26400,-30280,0,55925.13,0,6.42,26.38,26.38,1633.13,1248.87,0,0,-0.49,-2525.83,0.49,-18809.54,-2525.83,0,0,0,0,0,0,0,0,0,0,-51615.37,57558.26,4309.76,0,0,4309.76,13500,0,0,0,4309.76,26151.93,30990.91,29714.39,44490.91,"example"
2035,2.5,0.24,56076.13,0,-3880,-26400,-30280,0,56076.13,0,6.32,26.38,26.38,1989.62,1280.09,0,0,-0.49,-2513.45,0.49,-18901.7,-2513.45,0,0,0,0,0,0,0,0,0,0,-51695.15,58065.75,4380.98,0,0,4380.98,13500,0,0,0,4380.98,30532.91,37361.51,35560.13,50861.51,"example"
2036,2.5,0.22,56210.71,0,-5755,-26400,-32155,0,56210.71,0,6.22,26.38,26.38,2361.25,1312.09,0,0,-0.49,-2501.13,0.49,-18994.32,-2501.13,0,0,0,0,0,0,0,0,0,0,-53650.45,58571.96,2560.26,0,0,2560.26,13500,0,0,0,2560.26,33093.17,42283.02,39858.74,55783.02,"example"
2037,2.5,0.2,56334.37,0,-5755,-26400,-32155,0,56334.37,0,6.12,26.38,26.38,2630,1344.89,0,0,-0.49,-2488.87,0.49,-19087.39,-2488.87,0,0,0,0,0,0,0,0,0,0,-53731.26,58964.37,2603.11,0,0,2603.11,13500,0,0,0,2603.11,35696.28,47516.13,44398.05,61016.13,"example"
2038,2.5,0.17,56447.04,0,-7630,-26400,-34030,0,56447.04,0,6.02,26.38,26.38,2907.99,1378.51,0,0,-0.49,-2476.67,0.49,-19180.92,-2476.67,0,0,0,0,0,0,0,0,0,0,-55687.59,59355.03,759.45,0,0,759.45,13500,0,0,0,759.45,36455.73,51183.57,47298.37,64683.57,"example"
2039,2.5,0.15,56543,0,-7630,-26400,-34030,0,56543,0,5.92,26.38,26.38,3081.25,1412.97,0,0,-0.49,-2464.53,0.49,-19274.91,-2464.53,0,0,0,0,0,0,0,0,0,0,-55769.44,59624.25,773.56,0,0,773.56,13500,0,0,0,773.56,37229.29,55038.38,50340.34,68538.38,"example"
