"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_principal_share","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_lease_rental_growth","property1_cold_rent_from_lease","property1_warm_lease_income","property1_yearly_depreciation_rate","property1_yearly_depreciation","property1_property_management_fee","property1_total_deducible_expenses","property1_income_taxes_adjustment","property1_vacancy_months_cost","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","total_expenses","total_income","cash_flow","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_taken_out_from_capital_gains","passive_investment_money_taken_out_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2025,2,2.45,93600,50,-1050,-24000,-25050,0,46800,0,7.84,44.31,26.38,2606.8,0,-3960,1.96,-21600,-3960,1.96,450000,502065,26600,0,475465,2,3.7,-9509.3,-17592.21,-27101.51,28.83,-465955.7,-288279.32,3.7,0,0,0,0,0,0.3,-1350,1.5,-6750,-720,-1260,-360,-360,-420,-3120,1.96,13800,18270,2,-9000,-1035,-21255,11098.42,-1522.5,11.17,-50265,26.38,-354500.02,-9509.3,-17592.21,-1350,-6750,-3120,-1035,-1522.5,18270,11098.42,-91489.01,108143.64,16654.63,23400,0,0,0,0,26600,26600,26600,-254235.02,"example"
2026,2,2.34,95893.2,0,-1050,-48000,-49050,0,95893.2,0,7.69,44.31,26.38,2085.44,0,-3960,1.96,-22023.36,-3960,1.96,458820,0,0,0,0,2,3.7,-9861.15,-17240.36,-27101.51,0,-456094.55,-271038.96,3.7,0,0,0,0,0,0.3,-1376.46,1.5,-6882.3,-720,-1260,-360,-360,-420,-3120,1.96,14070.48,18566.94,2,-9000,-1055.29,-21434.05,10902,-1547.24,11.17,-51250.19,26.38,-321890.42,-9861.15,-17240.36,-1376.46,-6882.3,-3120,-1055.29,-1547.24,18566.94,10902,-116116.16,156916.52,40800.36,23400,0,0,0,40800.36,67400.36,67400.36,67400.36,-177513.15,"example"
2027,2,2.22,98137.1,50,-2100,-24000,-26100,0,49068.55,0,7.54,44.31,26.38,5183.09,0,-3960,1.96,-22455.02,-3960,1.96,467812.87,0,0,0,0,2,3.7,-10226.01,-16875.5,-27101.51,0,-445868.54,-254163.46,3.7,0,0,0,0,0,0.3,-1403.44,1.5,-7017.19,-720,-1260,-360,-360,-420,-3120,1.96,14346.26,18869.7,2,-9000,-1075.97,-21616.6,10699.02,-1572.48,11.17,-52254.7,26.38,-289172.87,-10226.01,-16875.5,-1403.44,-7017.19,-3120,-1075.97,-1572.48,18869.7,10699.02,-93805.61,113389.08,19583.47,23400,0,0,0,19583.47,86983.83,86983.83,86983.83,-121835.3,"example"
2028,2,2.11,100315.74,0,-2100,-48000,-50100,0,100315.74,0,7.39,44.31,26.38,6558.58,0,-3960,1.96,-22895.14,-3960,1.96,476982,0,0,0,0,2,3.7,-10604.37,-16497.14,-27101.51,0,-435264.17,-237666.32,3.7,0,0,0,0,0,0.3,-1430.95,1.5,-7154.73,-720,-1260,-360,-360,-420,-3120,1.96,14627.45,19178.4,2,-9000,-1097.06,-21802.74,10489.25,-1598.2,11.17,-53278.89,26.38,-256345.23,-10604.37,-16497.14,-1430.95,-7154.73,-3120,-1097.06,-1598.2,19178.4,10489.25,-118457.59,166209.62,47752.03,23400,0,0,0,47752.03,134735.86,134735.86,134735.86,-37812.63,"example"
2029,2,2,102432.4,0,-3650,-48000,-51650,0,102432.4,0,7.24,44.31,26.38,9956.98,0,-3960,1.96,-23343.88,-3960,1.96,486330.85,0,0,0,0,2,3.7,-10996.74,-16104.77,-27101.51,0,-424267.43,-221561.55,3.7,0,0,0,0,0,0.3,-1458.99,1.5,-7294.96,-720,-1260,-360,-360,-420,-3120,1.96,14914.15,19493.14,2,-9000,-1118.56,-21992.51,10272.44,-1624.43,11.17,-54323.16,26.38,-223405.37,-10996.74,-16104.77,-1458.99,-7294.96,-3120,-1118.56,-1624.43,19493.14,10272.44,-120672.33,171920.54,51248.21,23400,0,0,0,51248.21,185984.07,185984.07,185984.07,49885.94,"example"
2030,2,1.89,104481.05,0,-3650,-48000,-51650,0,104481.05,0,7.09,44.31,26.38,13465.25,0,-3960,1.96,-23801.42,-3960,1.96,495862.93,0,0,0,0,2,3.7,-11403.62,-15697.89,-27101.51,0,-412863.81,-205863.66,3.7,0,0,0,0,0,0.3,-1487.59,1.5,-7437.94,-720,-1260,-360,-360,-420,-3120,1.96,15206.47,19814.06,2,-9000,-1140.49,-22186.02,10048.37,-1651.17,11.17,-55387.89,26.38,-190351.07,-11403.62,-15697.89,-1487.59,-7437.94,-3120,-1140.49,-1651.17,19814.06,10048.37,-121350.12,177671.16,56321.04,23400,0,0,0,56321.04,242305.11,242305.11,242305.11,142840.57,"example"
2031,2,1.77,106455.74,0,-5200,-48000,-53200,0,106455.74,0,6.94,44.31,26.38,17179.43,0,-3960,1.96,-24267.93,-3960,1.96,505581.84,0,0,0,0,2,3.7,-11825.55,-15275.96,-27101.51,0,-401038.26,-190587.7,3.7,0,0,0,0,0,0.3,-1516.75,1.5,-7583.73,-720,-1260,-360,-360,-420,-3120,1.96,15504.52,20141.27,2,-9000,-1162.84,-22383.32,9816.77,-1678.44,11.17,-56473.49,26.38,-157180.1,-11825.55,-15275.96,-1516.75,-7583.73,-3120,-1162.84,-1678.44,20141.27,9816.77,-123591.2,183551.25,59960.05,23400,0,0,0,59960.05,302265.16,302265.16,302265.16,239621.04,"example"
2032,2,1.66,108340.01,0,-5200,-48000,-53200,0,108340.01,0,6.79,44.31,26.38,20977.2,0,-3960,1.96,-24743.58,-3960,1.96,515491.24,0,0,0,0,2,3.7,-12263.09,-14838.42,-27101.51,0,-388775.17,-175749.28,3.7,0,0,0,0,0,0.3,-1546.47,1.5,-7732.37,-720,-1260,-360,-360,-420,-3120,1.96,15808.41,20474.88,2,-9000,-1185.63,-22584.47,9577.38,-1706.24,11.17,-57580.37,26.38,-123890.17,-12263.09,-14838.42,-1546.47,-7732.37,-3120,-1185.63,-1706.24,20474.88,9577.38,-124295.8,189421.73,65125.93,23400,0,0,0,65125.93,367391.09,367391.09,367391.09,341757.88,"example"
2033,2,1.55,110138.45,0,-5200,-48000,-53200,0,110138.45,0,6.64,44.31,26.38,24945.86,0,-3960,1.96,-25228.55,-3960,1.96,525594.87,0,0,0,0,2,3.7,-12716.83,-14384.68,-27101.51,0,-376058.34,-161364.6,3.7,0,0,0,0,0,0.3,-1576.78,1.5,-7883.92,-720,-1260,-360,-360,-420,-3120,1.96,16118.25,20815.03,2,-9000,-1208.87,-22789.57,9329.91,-1734.59,11.17,-58708.95,26.38,-90478.95,-12716.83,-14384.68,-1576.78,-7883.92,-3120,-1208.87,-1734.59,20815.03,9329.91,-125014.22,195374.19,70359.97,23400,0,0,0,70359.97,437751.06,437751.06,437751.06,449322.99,"example"
2034,2,1.43,111845.6,0,-5200,-48000,-53200,0,111845.6,0,6.49,44.31,26.38,29066.67,0,-3960,1.96,-25723.03,-3960,1.96,535896.53,0,0,0,0,2,3.7,-13187.35,-13914.16,-27101.51,0,-362870.99,-147450.44,3.7,0,0,0,0,0,0.3,-1607.69,1.5,-8038.45,-720,-1260,-360,-360,-420,-3120,1.96,16434.17,21161.86,2,-9000,-1232.56,-22998.7,9074.11,-1763.49,11.17,-59859.64,26.38,-56944.04,-13187.35,-13914.16,-1607.69,-8038.45,-3120,-1232.56,-1763.49,21161.86,9074.11,-125746.73,201384.21,75637.48,23400,0,0,0,75637.48,513388.54,513388.54,513388.54,562363.64,"example"
2035,2,1.32,113444.99,0,-5200,-48000,-53200,0,113444.99,0,6.34,44.31,26.38,33318.92,0,-3960,1.96,-26227.21,-3960,1.96,546400.1,0,0,0,0,2,3.7,-13675.28,-13426.23,-27101.51,0,-349195.71,-134024.21,0,0,0,0,0,0,0.3,-1639.2,1.5,-8196,-720,-1260,-360,-360,-420,-3120,1.96,16756.28,21515.48,2,-9000,-1256.72,-23211.92,8809.66,-1792.96,11.17,-61032.89,26.38,-23283.06,-13675.28,-13426.23,-1639.2,-8196,-3120,-1256.72,-1792.96,21515.48,8809.66,-126493.6,207414.19,80920.59,23400,0,0,0,80920.59,594309.13,594309.13,594309.13,680889.31,"example"
